at first blush  с первого взгляда, поначалу 
 at sea  растерянность, ступор,конфуз 
 at sixes and sevens  кучамала,кто в лес ктопо дрова, беспорядок 
 at the tip of the tongue  на кончике языка, почти сказанно 
 bublin brook  болтушка, сплетница 
 babe at the woods  словно с луны свалившись 
 back off  заткнуться, перкратить пороть чушь, говорить медленнее 
 back out  не сдержать обещания, сделать западло 
 rotten rat  гнилой человек, поетрявший доверие 
 back up  одобрять, подстраховать 
 back to the wall  в звпадне, в безвыходной ситуации 
 bad egg  в семье не без урода, белая ворона 
 ball game  убить двух зайцев, поймать синюю птицу, удача 
 balls, nuts  яйца 
 ball of fire  гиперипульсивный, чресчур энергичный человек 
 bananas  маразматический, идиотский, офонаревший 
 bananas oil  лапша на уши, наглая лесть 
 bananas truck  тупой, придурок, идиот 
 bang up  забеременнеть, залететь 
 bank on  надеяться, расчитывать 
 be gettin on  стареть, набираться опыта 
 beat about the bush  толочь воду в ступе, лить воду из пустого в порожнее 
 beat it  смываться, сматываться, убираться 
 beauty sleep  немного вздремнуть 
 beef up  усилить, подкрепить 
 between тhe devil and the deep blue sea  меж двух огней 
 bi  бисексуал 
 big daddy,big papa  шишка, босс 
 big mouth  трепло big stink  скандал, сенсация 
 big time   провести хорошо время 
 bird has flown  поезд ушол, поздняк метаться 
 to bitch  жаловаться, ябедничать 
 blast off  протестовать, возмущатсья
